                                                food  Caloric Value     Fat  Saturated Fats  Monounsaturated Fats  Polyunsaturated Fats  Carbohydrates  Sugars  Protein  Dietary Fiber  Cholesterol  Sodium    Water  Vitamin A  Vitamin B1  Vitamin B11  Vitamin B12  Vitamin B2  Vitamin B3  Vitamin B5  Vitamin B6  Vitamin C  Vitamin D  Vitamin E  Vitamin K  Calcium   Copper    Iron  Magnesium  Manganese  Phosphorus  Potassium  Selenium    Zinc  Nutrition Density
                                         lemon juice             54   0.600           0.060                 0.073                 0.038         16.600   6.100    0.900          0.700        0.000   0.046  225.200      0.000       0.000        0.015        0.093       0.000       0.084       0.200       0.200      0.100     94.400      0.000      0.400    0.000   14.600   0.073      0.200     14.600       0.091     19.500   251.300   0.090             18.900
                               cranberry grape juice            137   0.200           0.053                 0.092                 0.080         34.300   0.000    0.500          0.200        0.000   0.079  209.700      0.000       0.094        0.090        0.000       0.056       0.300       0.100       0.027     78.400      0.000      0.000      0.000   19.600    0.051   0.040      7.400      0.400       9.800     58.800     0.000   0.055            133.200
                                  citrus fruit juice            114   0.057           0.088                 0.048                 0.085         28.300  20.200    0.800          0.200        0.000   0.051  217.800      0.000       0.043        0.021        0.000       0.096       0.200       0.200       0.054     67.200      0.000      0.100      0.042   22.300    0.065   2.800     14.900      0.200      24.800    277.800     0.036   0.011            121.700
                                         prune juice            182   0.006           0.033                 0.082                 0.011         44.700  42.100    1.600          2.600        0.000   0.100  208.000      0.000       0.038        0.000        0.000       0.200       2.000       0.300       0.600     10.500      0.000      0.300      0.007   30.700    0.200   3.000     35.800      0.400      64.000    706.600     0.083   0.500             93.105
                                    guanabana nectar            148   0.400           0.096                 0.100                 0.006         37.500  32.800    0.300          0.300        0.000   0.061  212.600      0.000       0.086        0.050        0.000       0.027       0.300       0.200       0.050     27.900      0.000      0.036      0.000   17.600    0.067   0.900      7.500      0.056       5.000     62.800     0.067   0.011             84.900
                                         fruit juice            108   0.100           0.059                 0.048                 0.036         26.300  24.200    0.300          0.200        0.000   0.100  172.700      0.000       0.071        0.200        0.000       0.000       0.096       0.028       0.000      0.001     50.800      0.000      0.100    0.000    6.000   0.039      0.500     10.000       0.000     14.000   244.000   0.089             26.937
                                            horchata             15   0.200           0.000                 0.000                 0.000          3.300   2.600    0.100          0.000        0.000   0.013   24.600      0.000       0.000        0.000        0.000       0.000       0.016       0.000       0.029      0.000      0.000      0.022      0.000    5.100    0.028   0.057      0.800      0.045       4.200      9.600     0.005   0.058              8.717
                                         fruit punch             98   0.400           0.048                 0.011                 0.039         24.400   0.000    0.200          0.000        0.000   0.080  208.600      0.000       0.092        0.061        0.000       0.100       0.100       0.035       0.047     11.200      0.000      0.000      0.000   16.400    0.097   0.500      7.000      0.100       7.000    154.400     0.000   0.400             53.100
                                      apricot nectar            139   0.200           0.070                 0.085                 0.039         35.700  34.200    0.900          1.500        0.000   0.025  210.500      0.000       0.044        0.059        0.000       0.014       0.600       0.200       0.036      1.500      0.000      0.800      0.008   17.400    0.200   0.900     12.400      0.008      22.300    282.700     0.000   0.200             58.100
                                      orangensaft ja             86   0.000           0.000                17.800                17.800          1.400   0.024    0.000          0.000        0.000   0.000    0.000      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000    0.000    0.000   0.000      0.000      0.000       0.000      0.000     0.000   0.000              1.400
                              fruchtcocktail granini            102   0.400           0.200                23.000                23.000          1.000   0.000    0.000          0.000        0.000   0.000    0.000      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000    0.000    0.000   0.000      0.000      0.000       0.000      0.000     0.000   0.000              1.400
                                        peach nectar            125   1.300           0.600                 0.200                 0.500         29.700  27.800    0.500          0.200        0.000   0.077  217.300      0.000       0.038        0.100        0.005       0.000       0.049       0.500       0.200      0.091     75.200      0.000      1.500    0.000   14.900   0.200      0.200     12.500       0.058     12.500   124.500   0.071             31.949
                              orange pineapple juice             15   0.080           0.056                 0.026                 0.024          3.600   3.100    0.100          0.032        0.000   0.044   25.700      0.000       0.044        0.010        0.000       0.069       0.054       0.000       0.053     12.000      0.000      0.036      0.016    2.400    0.090   0.086      3.000      0.100       3.200     44.300     0.076   0.072             18.261
                                     cranberry juice             92   0.300           0.061                 0.098                 0.100         24.400  24.200    0.800          0.200        0.000   0.093  174.300      0.000       0.000        0.069        0.011       0.000       0.016       0.200       0.000      0.100     18.600      0.000      2.400    0.099   16.000   0.100      0.500     12.000       0.000     26.000   154.000   0.036             25.975
                              white grapefruit juice             96   0.200           0.083                 0.091                 0.007         22.700  22.500    1.200          0.200        0.000   0.018  222.300      0.000       0.015        0.029        0.000       0.005       0.500       0.500       0.100     93.900      0.000      0.500      0.000   22.200    0.035   0.500     29.600      0.032      37.100    400.100     0.019   0.100            140.900
                                        mango nectar            128   0.200           0.040                 0.092                 0.066         32.900  31.200    0.300          0.800        0.000   0.061  217.400      0.000       0.000        0.039        0.055       0.000       0.060       0.200       0.200      0.038     38.200      0.000      0.500    0.047   42.700   0.087      0.900      7.500       0.007      5.000    60.200   0.025             34.447
                                acerola cherry juice             56   0.700           0.200                 0.200                 0.200         11.600  10.900    1.000          0.700        0.000   0.082  228.200      0.000       0.067        0.084        0.000       0.100       1.000       0.500       0.051   3872.000      0.000      0.400      0.057   24.200    0.200   1.200     29.000      0.000      21.800    234.700     0.061   0.200           3911.400
                             apple juice concentrate            350   0.800           0.100                 0.053                 0.200         86.500  81.900    1.100          0.800        0.000   0.049  120.300      0.000       0.029        0.005        0.000       0.100       0.300       0.500       0.200      4.400      0.000      0.022      0.000   42.200    0.100   1.900     35.900      0.500      52.800    945.300     0.067   0.300            137.700
                                       papaya nectar            143   0.400           0.100                 0.100                 0.070         36.300  34.800    0.400          1.500        0.000   0.082  212.600      0.000       0.000        0.053        0.039       0.000       0.077       0.400       0.100      0.017      7.500      0.000      0.600    0.076   25.000   0.029      0.900      7.500       0.012      0.000    77.500   0.072             38.657
                             apple juice martinellis            122   0.000           0.000                29.100                 0.700          0.000   0.000    0.000          0.000        0.000   0.000    0.000      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000    0.000    0.000   0.000      0.000      0.000       0.000      0.000     0.000   0.000              0.000
                                          lime juice             61   0.200           0.052                 0.087                 0.071         20.400   4.100    1.000          1.000        0.000   0.014  219.700      0.000       0.015        0.010        0.000       0.078       0.300       0.300       0.040     72.600      0.000      0.500      0.074   33.900    0.027   0.200     19.400      0.011      33.900    283.100     0.052   0.200            129.300
                                         grape juice            152   0.300           0.060                 0.030                 0.059         37.400  35.900    0.900          0.500        0.000   0.003  213.800      0.000       0.050        0.000        0.000       0.025       0.300       0.100       0.086      0.300      0.000      0.000      0.025   27.800    0.025   0.600     25.300      0.600      35.400    263.100     0.000   0.200             67.800
                                        water dannon              0   0.000           0.000                 0.000                 0.000          0.000   0.000    0.000          0.000        0.000   0.000  330.900      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000    9.900    0.000   0.000      3.300      0.000       0.000      0.000     0.000   0.000              9.900
                                           tap water              0   0.000           0.000                 0.000                 0.000          0.000   0.000    0.000          0.000        0.000   0.018  236.800      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000    7.100    0.086   0.000      2.400      0.000       0.000      0.000     0.000   0.042              7.100
                                         table water              0   0.000           0.000                 0.000                 0.000          0.000   0.000    0.000          0.000        0.000   0.044  499.500      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000   70.000    0.000   0.000      0.000      0.000       0.000      0.000     0.000   0.000             70.000
                                fruit flavored water             52   0.000           0.000                 0.000                 0.000         13.000  13.000    0.000          0.000        0.000   0.000  223.800      0.050       0.000        0.016        0.049       0.000       2.000       1.000       0.200     30.100      0.000      4.500      0.000   40.300    0.061   0.000      7.100      0.000       0.000      0.000     0.000   0.800             83.471
                                               water              0   0.000           0.000                 0.000                 0.000          0.000   0.000    0.000          0.000        0.000   0.024  237.000      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000   23.700    0.098   0.000      4.700      0.000       0.000      0.000     0.000   0.000             23.700
                                cola light coca cola              0   0.000           0.000                 0.000                 0.000          0.000   0.000    0.000          0.000        0.000   0.087  336.500      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000    0.000    0.000   0.000      0.000      0.000       0.000      0.000     0.000   0.000              0.000
                                     lemon lime soda            151   0.000           0.000                 0.000                 0.000         38.400  37.600    0.300          0.000        0.000   0.024  330.200      0.000       0.000        0.000        0.000       0.000       0.055       0.000       0.000      0.000      0.000      0.000      0.000    7.400    0.000   0.061      3.700      0.000       0.000      3.700     0.000   0.065             46.113
                                         tonic water            114   0.000           0.000                 0.000                 0.000         29.600  29.600    0.000          0.000        0.000   0.049  306.100      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000    3.400    0.031   0.090      0.000      0.050       0.000      0.000     0.000   0.300             33.038
                                lemonade low calorie              7   0.000           0.000                 0.000                 0.000          1.600   0.000    0.092          0.000        0.000   0.013  236.800      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      7.600      0.000      0.000      0.000   66.900    0.040   0.100      2.400      0.057      31.100      2.400     0.000   0.011             76.216
                                          ginger ale             68   0.000           0.000                 0.000                 0.000         17.500  17.400    0.000          0.000        0.000   0.043  182.500      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000    0.000    6.000   0.024      0.400      2.000       0.087      0.000     2.000   0.078             17.528
                         ice tea lemon flavor nestle             88   0.000           0.000                 0.000                 0.000         22.300  22.300    0.000          0.000        0.000   0.063  223.400      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000    7.400    0.068   0.000      2.500      0.300      88.200     46.600     0.000   0.100             29.700
                                    sprite coca cola             80   0.063           0.000                 0.000                 0.000         20.300  18.000    0.100          0.000        0.000   0.021  179.600      0.000       0.000        0.000        0.000       0.000       0.000       0.032       0.000      0.000      0.000      0.000      0.000    0.000    4.000   0.042      0.200      2.000       0.017      0.000     2.000   0.000             20.538
                                      cola coca cola            151   0.000           0.000                 0.000                 0.000         38.900  38.900    0.000          0.000        0.000   0.045  329.800      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000    7.400    0.000   0.048      0.000      0.000      40.500     11.000     0.045   0.052             46.400
                                                cola             74   0.070           0.000                 0.000                 0.000         19.100  17.900    0.100          0.000        0.000   0.072  180.600      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000    0.000    4.000   0.012      0.200      0.000       0.081     20.000     4.000   0.038             19.336
                                          cream soda            252   0.000           0.000                 0.000                 0.000         65.700  65.700    0.000          0.000        0.000   0.098  428.300      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000   24.700    0.036   0.200      4.900      0.080       0.000      4.900     0.000   0.300             90.600
                                           club soda              0   0.000           0.000                 0.000                 0.000          0.000   0.000    0.000          0.000        0.000   0.046  199.800      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000    0.000   10.000   0.015      0.078      2.000       0.052      0.000     4.000   0.000              0.025
                                       pink lemonade             86   0.300           0.079                 0.030                 0.034         21.600  20.600    0.100          0.200        0.000   0.010  177.800      0.000       0.003        0.078        0.000       0.000       0.047       0.035       0.061      6.200      0.000      0.062      0.000    8.000    0.011   0.092      4.000      0.094       4.000     34.000     0.000   0.093             36.488
                                          grape soda            160   0.000           0.000                 0.000                 0.000         41.700   0.000    0.000          0.000        0.000   0.042  330.300      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000   11.200    0.038   0.300      3.700      0.054       0.000      3.700     0.000   0.300             53.200
                     cola without caffeine coca cola            151   0.000           0.000                 0.000                 0.000         38.900  38.900    0.000          0.000        0.000   0.040  329.800      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000    7.400    0.000   0.026      0.000      0.000      40.500     11.000     0.063   0.032             46.381
                                      white lemonade             80   0.003           0.093                 0.024                 0.076         20.800  20.000    0.100          0.000        0.000   0.020  178.700      0.000       0.000        0.004        0.043       0.000       0.020       0.094       0.094      0.007      7.800      0.000      0.040    0.000    8.000   0.013      0.300      4.000       0.083      4.000    30.000   0.066             21.020
                                      chocolate soda            207   0.000           0.000                 0.000                 0.000         52.600  52.600    0.000          0.000        0.000   0.031  438.900      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000   19.700    0.022   0.500      4.900      0.200       4.900    246.000     0.015   0.800             72.800
                                    sweet tea lipton            130   0.000           0.000                 0.000                 0.000         35.000  35.000    0.000          0.000        0.000   0.000    0.000      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000    0.000    0.000   0.000      0.000      0.000       0.000      0.000     0.000   0.000             35.000
                                        hibiscus tea             74   1.300           0.500                 0.200                 0.040         14.800  12.000    0.900          0.600        0.000   0.091  179.300      0.000       2.600        0.030        0.000       0.200       0.000       0.000       0.000     36.800      0.000      0.000      0.000    2.000    0.100  17.300      2.000      0.000       6.000     18.000     0.000   0.200             73.700
                                   instant lemon tea              2   0.000           0.000                 0.000                 0.000          0.300   0.047    0.100          0.000        0.000   0.046  199.200      0.000       0.000        0.000        0.000       0.000       0.003       0.023       0.060      0.009      0.000      0.000      0.000    0.000    6.000   0.026      0.020      4.000       0.800      2.000    36.000   0.000              0.494
                                    pesca tea santal            116   0.000          28.100                 0.000                 0.000          0.000   0.000    0.000          0.000        0.000   0.000    0.000      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000    0.000    0.000   0.000      0.000      0.000       0.000      0.000     0.000   0.000              0.000
                         instant lemon tea sweetened             91   0.200           0.018                 0.046                 0.093         22.300  21.600    0.071          0.300        0.000   0.089  236.200      0.000       0.083        0.000        0.000       0.000       0.006       0.000       0.044      0.000      0.000      0.000      0.000    5.200    0.076   0.000      2.600      0.300       0.000     38.900     0.017   0.048             28.147
                   tea with milk and sugar yorkshire             15   0.500           0.300                 0.700                 0.700          0.400   0.000    0.000          0.000        0.000   0.000    0.000      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000    0.000    0.000   0.000      0.000      0.000       0.000      0.000     0.000   0.000              0.900
                        tea blueberry muffin tekanne              4   0.200           0.200                 0.600                 0.400          0.400   0.007    0.000          0.000        0.000   0.000    0.000      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000    0.000    0.000   0.000      0.000      0.000       0.000      0.000     0.000   0.000              0.600
                                       chamomile tea              2   0.000           0.028                 0.032                 0.073          0.400   0.000    0.000          0.000        0.000   0.003  199.400      0.000       0.060        0.050        0.000       0.022       0.000       0.027       0.000      0.000      0.000      0.000      0.000    4.000    0.097   0.200      2.000      0.078       0.000     18.000     0.000   0.006              4.600
                                           black tea              2   0.000           0.072                 0.032                 0.029          0.700   0.000    0.000          0.000        0.000   0.091  236.300      0.000       0.000        0.041        0.000       0.018       0.000       0.040       0.000      0.000      0.000      0.000      0.000    0.000    0.088   0.088      7.100      0.500       2.400     87.700     0.000   0.081              0.720
                                            herb tea              2   0.000           0.014                 0.043                 0.071          0.400   0.000    0.000          0.000        0.000   0.064  199.400      0.000       0.007        0.093        0.000       0.051       0.000       0.096       0.000      0.000      0.000      0.000      0.000    4.000    0.059   0.200      2.000      0.019       0.000     18.000     0.000   0.006              4.600
                                   clam tomato juice             80   0.300           0.000                 0.000                 0.000         18.200   5.500    1.000          0.700        0.000   0.600  145.100      0.000       0.015        0.079        0.000       0.064       0.400       0.100       0.100      8.300      0.000      0.200      0.000   13.300    0.011   0.200      8.300      0.073      18.300    147.700     0.097   0.100             42.000
                                        tomato juice             41   0.700           0.043                 0.062                 0.043          8.600   6.300    2.100          1.000        0.000   0.063  229.000      0.000       0.069        0.200        0.003       0.000       0.200       1.600       0.600      0.200    170.300      0.000      0.800    0.056   24.300   0.100      0.900     26.700       0.200     46.200   527.300   0.067             12.742
                                     vegetable juice             53   0.200           0.071                 0.016                 0.100         11.100   7.900    1.500          1.900        0.000   0.100  226.300      0.000       0.000        0.095        0.039       0.000       0.091       1.800       0.600      0.300     67.000      0.000      0.800    0.007   26.600   0.500      1.000     26.600       0.200     41.100   467.100   0.026             15.538
                              tomato vegetable juice             53   0.200           0.014                 0.014                 0.100         11.100   9.200    1.500          1.900        0.000   0.200  226.300      0.000       0.034        0.047        0.000       0.097       1.800       0.000       0.300     67.000      0.000      0.800      0.085   26.600    0.500   1.000     26.600      0.000      41.100    467.100     0.046   0.500            109.300
                                        carrot juice             80   0.300           0.055                 0.027                 0.100         18.600   7.800    1.900          1.600        0.000   0.100  177.700      0.000       0.200        0.077        0.000       0.100       0.800       0.500       0.400     17.000      0.000      2.300      0.047   48.000    0.087   0.900     28.000      0.300      84.000    584.000     0.046   0.400             88.300
                                         acorn dried            144   8.900           1.200                 5.600                 1.700         15.200   0.000    2.300          0.000        0.000   0.000    1.400      0.000       0.005        0.085        0.000       0.021       0.700       0.300       0.200      0.000      0.000      0.000      0.000   15.300    0.200   0.300     23.200      0.400      29.100    200.600     0.000   0.200             42.000
                                     fenugreek seeds             36   0.700           0.200                 0.000                 0.000          6.500   0.000    2.600          2.700        0.000   0.090    1.000      0.000       0.036        0.046        0.000       0.019       0.200       0.000       0.064      0.300      0.000      0.000      0.000   19.500    0.100   3.700     21.200      0.100      32.900     85.500     0.025   0.300             36.000
                            peanut topping mcdonalds            181  15.000           2.400                 7.300                 4.000          4.600   1.200    7.900          0.000        0.000   0.000    0.200      0.000       0.070        0.015        0.000       0.099       4.700       0.300       0.200      0.000      0.000      2.300      0.000   13.000    0.100   0.400     54.600      0.600     103.000    179.400     0.000   0.800             40.900
                                     beechnuts dried            173  15.000           1.700                 6.600                 6.000         10.100   0.000    1.900          0.000        0.000   0.068    2.000      0.000       0.053        0.087        0.000       0.100       0.300       0.300       0.200      4.700      0.000      0.000      0.000    0.300    0.200   0.700      0.000      0.400       0.000    305.100     0.000   0.100             32.700
                             breadnut tree seeds raw             61   0.300           0.089                 0.061                 0.100         13.100   0.000    1.700          0.000        0.000   0.084   12.700      0.000       0.040        0.077        0.000       0.053       0.200       0.300       0.100      7.800      0.000      0.000      0.000   27.700    0.400   0.600     19.200      0.015      19.000    334.800     0.000   0.300             51.200
                                         cumin seeds              8   0.500           0.096                 0.300                 0.013          0.900   0.063    0.400          0.200        0.000   0.073    0.200      0.000       0.079        0.015        0.000       0.093       0.064       0.000       0.021      0.200      0.000      0.096      0.001   19.600    0.058   1.400      7.700      0.087      10.500     37.500     0.072   0.100             23.200
                                     pili nuts dried            863  95.500          37.400                44.700                 9.100          4.800   0.000   13.000          0.000        0.000   0.014    3.300      0.000       1.100        0.066        0.000       0.100       0.600       0.600       0.100      0.700      0.000      0.000      0.000  174.000    1.100   4.200    362.400      2.800     690.000    608.400     0.000   3.600            292.200
                                   hazelnuts roasted            194  18.700           1.400                14.000                 2.500          5.300   1.500    4.500          2.800        0.000   0.000    0.800      0.000       0.100        0.031        0.000       0.074       0.600       0.300       0.200      1.100      0.000      4.600      0.000   36.900    0.500   1.300     51.900      1.700      93.000    226.500     0.061   0.800             70.600
                                       lupins cooked            193   4.800           0.600                 2.000                 1.200         15.400   0.000   25.800          4.600        0.000   0.400  118.000      0.000       0.200        0.083        0.000       0.071       0.800       0.300       0.016      1.800      0.000      0.000      0.000   84.700    0.400   2.000     89.600      1.100     212.500    406.700     0.084   2.300            139.100
                                  hazelnuts blanched            178  17.300           1.300                13.600                 1.600          4.800   1.000    3.900          3.100        0.000   0.000    1.600      0.000       0.100        0.021        0.000       0.049       0.400       0.200       0.200      0.600      0.000      5.000      0.000   42.200    0.500   0.900     45.300      3.600      87.700    186.200     0.015   0.600             72.800
                                    brazilnuts dried             33   3.300           0.800                 1.200                 1.000          0.600   0.100    0.700          0.400        0.000   0.073    0.200      0.000       0.079        0.035        0.000       0.013       0.083       0.051       0.041      0.024      0.000      0.300      0.000    8.000    0.074   0.100     18.800      0.084      36.300     33.000     0.035   0.200             13.139
                         sunflower seeds dry roasted             47   4.000           0.400                 0.800                 2.600          1.900   0.200    1.500          0.900        0.000   0.067    0.076      0.000       0.087        0.072        0.000       0.086       0.600       0.600       0.010      0.100      0.000      2.100      0.037    5.600    0.100   0.300     10.300      0.200      92.400     68.000     0.021   0.400             14.300
                                  ginkgo nuts canned            172   2.500           0.500                 0.900                 0.900         34.300   0.000    3.500         14.400        0.000   0.500  113.100      0.000       0.200        0.060        0.000       0.052       5.600       0.200       0.300     14.100      0.000      0.000      0.000    6.200    0.300   0.400     24.800      0.100      83.700    279.000     0.067   0.300             75.400
                                      peanuts cooked            572  39.600           5.500                19.700                12.500         38.300   4.400   24.300         15.800        0.000   1.400   75.200      0.000       0.500        0.100        0.000       0.100       9.500       1.500       0.300      0.000      0.000      7.400      0.000   99.000    0.900   1.800    183.600      1.800     356.400    324.000     0.027   3.300            218.800
                          pumpkin squash seeds dried            721  63.300          11.200                21.000                27.100         13.800   1.800   39.000          7.700        0.000   0.013    6.700      0.000       0.400        0.024        0.000       0.200       6.400       1.000       0.200      2.500      0.000      2.800      0.030   59.300    1.700  11.400    763.700      5.900    1590.600   1043.600     0.078  10.100            197.000
                                     cashew nuts raw            156  12.400           2.200                 6.700                 2.200          8.500   1.700    5.200          0.900        0.000   0.020    1.500      0.000       0.100        0.076        0.000       0.071       0.300       0.200       0.100      0.100      0.000      0.300      0.040   10.500    0.600   1.900     82.600      0.500     167.800    186.800     0.039   1.600             39.500
                               sunflower seeds dried            269  23.700           2.000                 8.500                10.600          9.200   1.200    9.600          4.000        0.000   0.014    2.200      0.000       0.700        0.100        0.000       0.200       3.800       0.500       0.600      0.600      0.000     16.200      0.000   35.900    0.800   2.400    149.500      0.900     303.600    296.700     0.077   2.300             85.400
                                   lotus seeds dried            106   0.600           0.100                 0.100                 0.400         20.600   0.000    4.900          0.000        0.000   0.024    4.500      0.000       0.200        0.019        0.000       0.059       0.500       0.300       0.200      0.000      0.000      0.000      0.000   52.200    0.100   1.100     67.200      0.700     200.300    437.800     0.000   0.300             79.400
                                    butternuts dried            734  68.400           1.600                12.500                51.300         14.500   0.000   29.900          5.600        0.000   0.062    4.000      0.000       0.500        0.088        0.000       0.200       1.300       0.800       0.700      3.800      0.000      0.000      0.000   63.600    0.500   4.800    284.400      7.900     535.200    505.200     0.028   3.800            190.600
                                  sesame seeds dried             52   4.500           0.600                 1.700                 2.000          2.100   0.031    1.600          1.100        0.000   0.049    0.400      0.000       0.037        0.050        0.000       0.057       0.400       0.082       0.096      0.000      0.000      0.099      0.000   87.800    0.400   1.300     31.600      0.200      56.600     42.100     0.047   0.700             98.400
                                    breadfruit seeds             57   1.700           0.500                 0.200                 0.900          8.800   0.000    2.200          1.600        0.000   0.040   16.900      0.000       0.100        0.095        0.000       0.066       0.100       0.300       0.024      2.000      0.000      0.000      0.000   10.800    0.300   1.100     16.200      0.049      52.500    282.300     0.000   0.300             28.200
                              pinyon pine nuts dried              1   0.073           0.022                 0.044                 0.074          0.010   0.000    0.083          0.005        0.000   0.070    0.045      0.000       0.020        0.066        0.000       0.040       0.027       0.000       0.048      0.004      0.000      0.000      0.000    0.022    0.078   0.007      0.200      0.012       0.098      0.600     0.000   0.049              0.359
                                     pine nuts dried            909  92.300           6.600                25.300                46.000         17.700   4.800   18.500          5.000        0.000   0.086    3.100      0.000       0.500        0.018        0.000       0.300       5.900       0.400       0.100      1.100      0.000     12.600      0.002   21.600    1.800   7.500    338.900     11.900     776.300    806.000     0.061   8.700            163.700
                                           flaxseeds             55   4.300           0.400                 0.800                 3.000          3.000   0.200    1.900          2.800        0.000   0.035    0.700      0.000       0.200        0.015        0.000       0.095       0.300       0.100       0.056      0.023      0.000      0.042      0.053   26.300    0.100   0.600     40.400      0.300      66.100     83.700     0.050   0.400             38.994
                        safflower seed kernels dried            146  10.900           1.000                 1.400                 8.000          9.700   0.000    4.600          0.000        0.000   0.042    1.600      0.000       0.300        0.055        0.000       0.100       0.600       1.100       0.300      0.000      0.000      0.000      0.000   22.100    0.500   1.400     99.900      0.600     182.300    194.400     0.000   1.400             48.700
                                  pistachio nuts raw            691  55.800           6.800                29.300                16.900         33.800   9.400   24.900         12.700        0.000   0.037    4.800      0.000       1.100        0.087        0.000       0.200       1.600       0.600       2.100      6.900      0.000      2.800      0.000  129.200    1.600   4.800    148.800      1.500     602.700   1260.800     0.078   2.700            268.100
                                         peanuts raw            828  71.900          10.000                35.700                22.700         23.500   5.800   37.700         12.400        0.000   0.038    9.500      0.000       0.900        0.400        0.000       0.200      17.600       2.600       0.500      0.000      0.000     12.200      0.000  134.300    1.700   6.700    245.300      2.800     549.000   1029.300     0.032   4.800            286.500
                                         poppy seeds             46   3.700           0.400                 0.500                 2.500          2.500   0.300    1.600          1.700        0.000   0.079    0.500      0.000       0.034        0.044        0.000       0.040       0.069       0.071       0.090      0.061      0.000      0.200      0.000  126.500    0.100   0.900     30.500      0.600      76.600     63.300     0.059   0.700            136.934
                                valencia peanuts raw            832  69.500          10.700                31.300                24.100         30.500   0.000   36.600         12.700        0.000   0.094    6.200      0.000       0.900        0.400        0.000       0.400      18.800       2.600       0.500      0.000      0.000      0.000      0.000   90.500    1.700   3.100    268.600      2.900     490.600    484.700     0.056   4.900            242.900
                                     spanish peanuts            832  72.400          11.200                32.600                25.100         23.100   0.000   38.200         13.900        0.000   0.036    9.300      0.000       1.000        0.400        0.000       0.200      23.300       2.600       0.500      0.000      0.000      0.000      0.000  154.800    1.300   5.700    274.500      3.900     566.500   1086.200     0.077   3.100            308.100
                                          dill seeds             20   1.000           0.018                 0.600                 0.041          3.600   0.000    1.100          1.400        0.000   0.037    0.500      0.000       0.011        0.085        0.000       0.059       0.200       0.000       0.001      1.400      0.000      0.000      0.000  100.100    0.009   1.100     16.900      0.100      18.300     78.300     0.075   0.300            109.700
                                       caraway seeds             22   1.000           0.030                 0.500                 0.200          3.300   0.038    1.300          2.500        0.000   0.014    0.700      0.000       0.096        0.052        0.000       0.075       0.200       0.000       0.099      1.400      0.000      0.200      0.000   46.200    0.077   1.100     17.300      0.034      38.100     90.500     0.062   0.400             56.800
                                           acorn raw            110   6.800           0.900                 4.300                 1.300         11.500   0.000    1.700          0.000        0.000   0.000    7.900      0.000       0.016        0.060        0.000       0.045       0.500       0.200       0.100      0.000      0.000      0.000      0.000   11.600    0.200   0.200     17.500      0.400      22.400    152.500     0.000   0.100             31.800
                                     almonds roasted            182  16.600           1.300                10.400                 4.100          5.300   1.400    6.400          3.200        0.000   0.029    0.800      0.000       0.055        0.032        0.000       0.200       1.100       0.049       0.065      0.000      0.000      7.800      0.000   87.300    0.300   1.100     82.200      0.700     139.800    209.700     0.017   0.900            119.900
                                     lotus seeds raw             25   0.100           0.097                 0.011                 0.002          4.900   0.000    1.200          0.000        0.000   0.020   21.800      0.000       0.073        0.052        0.000       0.070       0.100       0.088       0.074      0.000      0.000      0.000      0.000   12.500    0.079   0.300     15.800      0.200      47.500    103.900     0.000   0.043             19.000
                                    chestnuts cooked             37   0.400           0.016                 0.100                 0.200          7.900   0.000    0.600          0.000        0.000   0.046   19.300      0.000       0.095        0.099        0.000       0.053       0.200       0.046       0.021      7.600      0.000      0.000      0.000   13.000    0.100   0.500     15.300      0.200      28.000    202.300     0.000   0.020             30.000
